//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;minecraft:potion;16;Awkward Potion
alchemistamulet;millenaire:item.ml_dwarves_amulet;0;item.ml_dwarves_amulet.name
alchimistexplosive;millenaire:tile.ml_stone_deco;3;tile.ml_stone_deco.3.name
arrow;minecraft:arrow;0;Arrow
beefcooked;minecraft:cooked_beef;0;Steak
beefraw;minecraft:beef;0;Raw Beef
bone;minecraft:bone;0;Bone
book;minecraft:book;0;Book
bookandquill;minecraft:writable_book;0;Book and Quill
bookshelves;minecraft:bookshelf;0;Bookshelf
bottle;minecraft:glass_bottle;0;Glass Bottle
boudin;millenaire:item.ml_boudin;0;item.ml_boudin.name
bow;minecraft:bow;0;Bow
bowlempty;minecraft:bowl;0;Bowl
bowlsoup;minecraft:mushroom_stew;0;Mushroom Stew
bread;minecraft:bread;0;Bread
brickmould;millenaire:item.ml_brickmould;0;item.ml_brickmould.name
bricks;minecraft:brick_block;0;Bricks
bucketempty;minecraft:bucket;0;Bucket
bucketlava;minecraft:lava_bucket;0;Lava Bucket
bucketmilk;minecraft:milk_bucket;0;Milk
bucketwater;minecraft:water_bucket;0;Water Bucket
byzantineboots;millenaire:item.ml_byzantineBoots;0;item.ml_byzantineBoots.name
byzantinehelmet;millenaire:item.ml_byzantineHelmet;0;item.ml_byzantineHelmet.name
byzantineiconlarge;millenaire:item.ml_byzantineiconlarge;0;item.ml_byzantineiconlarge.name
byzantineiconmedium;millenaire:item.ml_byzantineiconmedium;0;item.ml_byzantineiconmedium.name
byzantineiconsmall;millenaire:item.ml_byzantineicon;0;item.ml_byzantineicon.name
byzantinelegs;millenaire:item.ml_byzantineLegs;0;item.ml_byzantineLegs.name
byzantinemace;millenaire:item.ml_byzantineMace;0;item.ml_byzantineMace.name
byzantineplate;millenaire:item.ml_byzantinePlate;0;item.ml_byzantinePlate.name
byzantinestonetiles;millenaire:tile.byzantine_mixedbrick;0;tile.byzantine_mixedbrick.name
byzantinetiles;millenaire:tile.byzantine_brick;0;tile.byzantine_brick.name
byzantinetileslab;millenaire:tile.byzantine_brick_slab;0;tile.byzantine_brick_slab.name
cacauhaa;millenaire:item.ml_cacauhaa;0;item.ml_cacauhaa.name
cactus;minecraft:cactus;0;Cactus
cake;minecraft:cake;0;Cake
calva;millenaire:item.ml_calva;0;item.ml_calva.name
carrot;minecraft:carrot;0;Carrot
chainboots;minecraft:chainmail_boots;0;Chain Boots
chainchest;minecraft:chainmail_chestplate;0;Chain Chestplate
chainhelmet;minecraft:chainmail_helmet;0;Chain Helmet
chainlegs;minecraft:chainmail_leggings;0;Chain Leggings
chickencurry;millenaire:item.ml_chickencurry;0;item.ml_chickencurry.name
chickenmeat;minecraft:chicken;0;Raw Chicken
chickenmeatcooked;minecraft:cooked_chicken;0;Cooked Chicken
cider;millenaire:item.ml_cider;0;item.ml_cider.name
ciderapple;millenaire:item.ml_ciderapple;0;item.ml_ciderapple.name
clay;minecraft:clay_ball;0;Clay
clock;minecraft:clock;0;Clock
clothes_byz_silk;millenaire:item.ml_clothes;1;item.clothes_byz_silk.name
clothes_byz_wool;millenaire:item.ml_clothes;0;item.clothes_byz_wool.name
coal;minecraft:coal;0;Coal
cobblestone;minecraft:cobblestone;0;Cobblestone
compass;minecraft:compass;0;Compass
cookedbrick;millenaire:tile.ml_stone_deco;0;tile.ml_stone_deco.0.name
cookie;minecraft:cookie;0;Cookie
denier;millenaire:item.ml_denier;0;item.ml_denier.name
denierargent;millenaire:item.ml_denier_argent;0;item.ml_denier_argent.name
denieror;millenaire:item.ml_denier_or;0;item.ml_denier_or.name
diamond;minecraft:diamond;0;Diamond
diamondaxe;minecraft:diamond_axe;0;Diamond Axe
diamondboots;minecraft:diamond_boots;0;Diamond Boots
diamondchest;minecraft:diamond_chestplate;0;Diamond Chestplate
diamondhelmet;minecraft:diamond_helmet;0;Diamond Helmet
